epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.032,1.06201,0.90069,0.96688,0.91431,0.8762,0.93044,0.64725,0.96294,0.75684,0.95687,0.000665747,0.000665747,0.000665747
2,332.694,1.14015,0.79306,1.00659,0.89838,0.8204,0.90808,0.5794,1.22188,0.80079,1.02774,0.00131922,0.00131922,0.00131922
3,493.288,1.24071,0.91864,1.04625,0.00077,0.01395,1e-05,0,nan,nan,nan,0.0019595,0.0019595,0.0019595
4,656.915,1.22749,0.83053,1.03876,0.92854,0.82825,0.91209,0.64076,1.03708,0.72034,0.99777,0.0019406,0.0019406,0.0019406
5,817.817,1.12929,0.73377,0.99584,0.89616,0.8762,0.9234,0.65825,0.99745,0.69905,0.9876,0.0019208,0.0019208,0.0019208
6,978.59,1.12748,0.7349,1.00358,0.92458,0.86138,0.93096,0.67005,0.98439,0.6608,0.9735,0.001901,0.001901,0.001901
7,1140.03,1.09265,0.67942,0.98252,0.93183,0.88317,0.94432,0.67401,0.97504,0.67221,0.97122,0.0018812,0.0018812,0.0018812
8,1301.18,1.03712,0.63595,0.97494,0.95452,0.87794,0.94613,0.70414,0.9141,0.60196,0.95817,0.0018614,0.0018614,0.0018614
9,1461.98,1.00565,0.63424,0.96625,0.94698,0.87446,0.95108,0.70452,0.88285,0.59879,0.95479,0.0018416,0.0018416,0.0018416
10,1622.8,1.00932,0.64861,0.97618,0.9354,0.87112,0.93998,0.68708,0.92233,0.62212,0.95087,0.0018218,0.0018218,0.0018218
11,1783.39,1.01732,0.6456,0.97011,0.94332,0.89189,0.94393,0.69906,0.91353,0.60675,0.94914,0.001802,0.001802,0.001802
12,1943.84,0.9555,0.58686,0.94856,0.93132,0.90235,0.94977,0.7096,0.8608,0.58786,0.94048,0.0017822,0.0017822,0.0017822
13,2104.48,0.92973,0.57501,0.94784,0.94489,0.90323,0.95261,0.70899,0.85702,0.57746,0.93614,0.0017624,0.0017624,0.0017624
14,2265.07,0.93382,0.57101,0.92993,0.94434,0.90584,0.96374,0.72603,0.85293,0.55761,0.92926,0.0017426,0.0017426,0.0017426
15,2425.93,0.92052,0.5656,0.932,0.94242,0.90235,0.95178,0.72006,0.84882,0.56662,0.94044,0.0017228,0.0017228,0.0017228
16,2584.44,0.92806,0.58318,0.9392,0.97016,0.88056,0.95563,0.71563,0.84869,0.5649,0.93521,0.001703,0.001703,0.001703
17,2743.01,0.91117,0.55232,0.92647,0.9378,0.90707,0.95612,0.72178,0.84166,0.57129,0.93415,0.0016832,0.0016832,0.0016832
18,2901.92,0.89376,0.53457,0.92957,0.93942,0.90588,0.9532,0.72357,0.82938,0.56525,0.93179,0.0016634,0.0016634,0.0016634
19,3060.57,0.8807,0.52868,0.92147,0.94856,0.9163,0.96494,0.73969,0.82373,0.54551,0.9318,0.0016436,0.0016436,0.0016436
20,3219.4,0.86107,0.52623,0.91082,0.94066,0.91892,0.95982,0.74835,0.77325,0.53475,0.90898,0.0016238,0.0016238,0.0016238
21,3378.23,0.85593,0.51936,0.91843,0.95133,0.91718,0.9654,0.74362,0.79848,0.51184,0.91797,0.001604,0.001604,0.001604
22,3539.72,0.86829,0.51805,0.9188,0.93139,0.9163,0.96192,0.73837,0.80308,0.52654,0.91623,0.0015842,0.0015842,0.0015842
23,3701.11,0.84412,0.50896,0.91,0.9595,0.9089,0.9689,0.74692,0.8002,0.52571,0.9112,0.0015644,0.0015644,0.0015644
24,3862.51,0.83898,0.49844,0.91129,0.93581,0.92792,0.96647,0.75624,0.7604,0.50324,0.91217,0.0015446,0.0015446,0.0015446
25,4023.76,0.84072,0.50168,0.9074,0.94109,0.91931,0.96592,0.73894,0.81455,0.52345,0.93366,0.0015248,0.0015248,0.0015248
26,4185.27,0.84611,0.50448,0.91031,0.95616,0.90323,0.96548,0.75111,0.76556,0.49938,0.91006,0.001505,0.001505,0.001505
27,4346.32,0.82035,0.49312,0.89746,0.95286,0.91647,0.96572,0.74882,0.77502,0.51824,0.91287,0.0014852,0.0014852,0.0014852
28,4507.18,0.82247,0.49759,0.90564,0.94244,0.9102,0.96278,0.73702,0.79795,0.50659,0.90876,0.0014654,0.0014654,0.0014654
29,4667.91,0.85866,0.50164,0.91274,0.9427,0.92589,0.96604,0.74747,0.78153,0.50281,0.90738,0.0014456,0.0014456,0.0014456
30,4828.71,0.80287,0.47947,0.89496,0.95616,0.91265,0.96345,0.75623,0.74061,0.47659,0.90423,0.0014258,0.0014258,0.0014258
31,4989.57,0.80604,0.47286,0.8927,0.95401,0.9224,0.96396,0.75049,0.76524,0.49107,0.90339,0.001406,0.001406,0.001406
32,5150.42,0.78662,0.46733,0.89177,0.94683,0.93154,0.97032,0.75414,0.75878,0.48724,0.89852,0.0013862,0.0013862,0.0013862
33,5311.24,0.80242,0.47904,0.89689,0.95316,0.90323,0.96629,0.75721,0.75452,0.47879,0.90345,0.0013664,0.0013664,0.0013664
34,5472.18,0.80435,0.47327,0.88805,0.94354,0.91797,0.9653,0.75655,0.72847,0.46182,0.89417,0.0013466,0.0013466,0.0013466
35,5633.14,0.7878,0.46607,0.88626,0.95462,0.91693,0.96968,0.76629,0.73996,0.46451,0.89675,0.0013268,0.0013268,0.0013268
36,5794.32,0.78463,0.46092,0.88761,0.95999,0.92589,0.97192,0.7715,0.72733,0.45805,0.89445,0.001307,0.001307,0.001307
37,5955,0.77468,0.45452,0.89,0.94207,0.932,0.97088,0.76556,0.73607,0.46359,0.89696,0.0012872,0.0012872,0.0012872
38,6116.09,0.79381,0.47294,0.89521,0.95544,0.91718,0.97104,0.76798,0.71636,0.46184,0.89453,0.0012674,0.0012674,0.0012674
39,6276.99,0.75595,0.45531,0.87537,0.95158,0.9252,0.96895,0.76871,0.70896,0.46288,0.88944,0.0012476,0.0012476,0.0012476
